job_id,job_title_short,skill
22442,Data Engineer,php
22442,Data Engineer,html
22442,Data Engineer,visual basic
22442,Data Engineer,nosql
22442,Data Engineer,python
22442,Data Engineer,java
22442,Data Engineer,c++
22442,Data Engineer,sql server
22442,Data Engineer,mysql
22442,Data Engineer,azure
22442,Data Engineer,oracle
22442,Data Engineer,tableau
22442,Data Engineer,power bi
22443,Data Analyst,excel
22443,Data Analyst,powerpoint
22444,Senior Data Engineer,sql
22444,Senior Data Engineer,snowflake
22444,Senior Data Engineer,aws
22444,Senior Data Engineer,azure
22446,Business Analyst,sql
22446,Business Analyst,t-sql
22446,Business Analyst,sql server
22446,Business Analyst,azure
22446,Business Analyst,power bi
22446,Business Analyst,excel
22446,Business Analyst,dax
22447,Data Analyst,sql
22447,Data Analyst,r
22447,Data Analyst,python
22447,Data Analyst,sas
22447,Data Analyst,sas
22447,Data Analyst,power bi
22447,Data Analyst,tableau
22447,Data Analyst,spss
22447,Data Analyst,excel
22448,Senior Data Analyst,sql
22448,Senior Data Analyst,excel
22449,Machine Learning Engineer,python
22449,Machine Learning Engineer,java
22449,Machine Learning Engineer,golang
22449,Machine Learning Engineer,go
22449,Machine Learning Engineer,bigquery
22449,Machine Learning Engineer,tensorflow
22450,Data Analyst,go
22450,Data Analyst,flow
22451,Senior Data Engineer,python
22451,Senior Data Engineer,java
22451,Senior Data Engineer,scala
22451,Senior Data Engineer,nosql
22451,Senior Data Engineer,sql
22451,Senior Data Engineer,mongo
22451,Senior Data Engineer,shell
22451,Senior Data Engineer,mysql
22451,Senior Data Engineer,cassandra
22451,Senior Data Engineer,aws
22451,Senior Data Engineer,snowflake
22451,Senior Data Engineer,redshift
22451,Senior Data Engineer,azure
22451,Senior Data Engineer,airflow
22451,Senior Data Engineer,hadoop
22451,Senior Data Engineer,kafka
22451,Senior Data Engineer,spark
22452,Data Scientist,sas
22452,Data Scientist,sas
22452,Data Scientist,sql
22452,Data Scientist,python
22453,Data Scientist,r
22453,Data Scientist,python
22453,Data Scientist,vba
22453,Data Scientist,sql
22453,Data Scientist,tableau
22454,Senior Data Analyst,sql
22454,Senior Data Analyst,excel
22454,Senior Data Analyst,word
22454,Senior Data Analyst,powerpoint
22454,Senior Data Analyst,outlook
22454,Senior Data Analyst,tableau
22454,Senior Data Analyst,looker
22454,Senior Data Analyst,microstrategy
22454,Senior Data Analyst,power bi
22455,Data Engineer,shell
22455,Data Engineer,sql
22455,Data Engineer,azure
22455,Data Engineer,express
22455,Data Engineer,power bi
22455,Data Engineer,sharepoint
22455,Data Engineer,excel
22456,Data Engineer,assembly
22456,Data Engineer,sql
22456,Data Engineer,sql server
22456,Data Engineer,redshift
22456,Data Engineer,windows
22456,Data Engineer,qlik
22456,Data Engineer,alteryx
22457,Data Analyst,sql
22457,Data Analyst,excel
22458,Data Engineer,python
22458,Data Engineer,go
22458,Data Engineer,aws
22458,Data Engineer,snowflake
22460,Data Analyst,nosql
22460,Data Analyst,sql
22460,Data Analyst,python
22460,Data Analyst,r
22460,Data Analyst,sas
22460,Data Analyst,sas
22460,Data Analyst,matlab
22460,Data Analyst,dynamodb
22460,Data Analyst,redshift
22460,Data Analyst,oracle
22460,Data Analyst,aws
22460,Data Analyst,tableau
22461,Senior Data Analyst,go
22462,Senior Data Analyst,sql
22462,Senior Data Analyst,looker
22462,Senior Data Analyst,github
22462,Senior Data Analyst,gitlab
22465,Data Scientist,sql
22465,Data Scientist,python
22465,Data Scientist,r
22465,Data Scientist,sas
22465,Data Scientist,sas
22466,Data Engineer,sql
22466,Data Engineer,python
22466,Data Engineer,java
22466,Data Engineer,c++
22466,Data Engineer,go
22466,Data Engineer,dynamodb
22466,Data Engineer,aws
22466,Data Engineer,azure
22466,Data Engineer,redshift
22466,Data Engineer,snowflake
22466,Data Engineer,hadoop
22466,Data Engineer,spark
22466,Data Engineer,kafka
22466,Data Engineer,qlik
22466,Data Engineer,power bi
22466,Data Engineer,tableau
22466,Data Engineer,github
22466,Data Engineer,gitlab
